,net
2017-09-25,-0.01989373089237785
2017-09-26,0.00030498588877181083
2017-09-27,-0.003119585357324998
2017-09-28,0.0027691834972182745
2017-09-29,0.007976870190489942
2017-10-02,0.004726607365395511
2017-10-03,0.00595013288413064
2017-10-04,-0.0013491686790120176
2017-10-05,-0.00045734965436287586
2017-10-06,0.005666490814728337
2017-10-09,0.0005008335379304049
2017-10-10,-0.0009389330701297932
2017-10-11,-0.0007018368702045697
2017-10-12,-0.0011798987789298397
2017-10-13,0.0009392217006066227
2017-10-16,0.0025568921681301906
2017-10-17,-0.0025569209184827884
2017-10-18,0.0032540727649155447
2017-10-19,-0.001471938742420258
2017-10-20,0.002140779798687034
2017-10-23,-0.0003612117714000757
2017-10-24,0.0011358575708337064
2017-10-25,0.003619569883673826
2017-10-26,0.006203471141026967
2017-10-27,0.005303493815014087
2017-10-30,-0.0019339647176021676
2017-10-31,0.0042932382972222126
2017-11-01,-0.004713837508350002
2017-11-02,-0.003425742892645481
2017-11-03,0.004019016484468781
2017-11-06,-0.014251723216185657
2017-11-07,0.0011468818546807806
2017-11-08,9.023903243273452e-05
2017-11-09,-0.007309721776290893
2017-11-10,0.004505630007915926
2017-11-13,0.002787638991662212
2017-11-14,0.00743033398104151
2017-11-15,-0.0034161464507785947
2017-11-16,0.003932511223182079
2017-11-17,-0.011884869476779794
2017-11-20,0.007806777336794588
2017-11-21,0.0059986561932307714
2017-11-22,-0.003917936017106941
2017-11-24,0.00913345463144796
2017-11-27,-0.004379045352383057
2017-11-28,-0.0002914978687607768
2017-11-29,-0.005915475296140078
2017-11-30,0.010661425694283107
2017-12-01,-0.0070446280362114954
2017-12-04,-0.0006235012748512538
2017-12-05,0.0020172040118305104
2017-12-06,-0.00030119170542523545
2017-12-07,0.013188798559169726
2017-12-08,-0.0014840625407804386
2017-12-11,0.0012980352267039192
2017-12-12,1.0617458219225133e-05
2017-12-13,-0.0028562093499924605
2017-12-14,0.0026837902343774373
2017-12-15,0.005222252186569926
2017-12-18,-0.005350213254184766
2017-12-19,2.3125129377990885e-06
2017-12-20,-3.714789739197314e-05
2017-12-21,-0.002020873895259935
2017-12-22,-0.003125399567426654
2017-12-26,-0.0061962170396094775
2017-12-27,-0.0030651154234277774
2017-12-28,-0.007188513447423289
2017-12-29,-0.004044549255879097
2018-01-02,-0.0072302695758826255
2018-01-03,0.009087218050646554
2018-01-04,0.0058533094053994815
2018-01-05,0.007604998108384182
2018-01-08,0.00211583687433903
2018-01-09,0.000631687949365428
2018-01-10,0.00013534862160079024
2018-01-11,-0.003950722160298525
2018-01-12,-0.0020781610461487114
2018-01-16,-0.002566544545354114
2018-01-17,0.0022170170230661757
2018-01-18,0.0025472272988228055
2018-01-19,0.003790398452245518
2018-01-22,-0.000441110244700433
2018-01-23,-0.002582700660781924
2018-01-24,-0.010194523481818405
2018-01-25,-0.0045596667111499865
2018-01-26,0.0034602008583210927
2018-01-29,-0.0008692742269598791
2018-01-30,-0.0020466075587092097
2018-01-31,0.0030191859079860385
2018-02-01,0.00018582364309743403
2018-02-02,-0.00427643708618034
2018-02-05,-0.010043565500959407
2018-02-06,0.013304909518916249
2018-02-07,-0.0013451117303192473
2018-02-08,-0.010611622151744436
2018-02-09,0.0006205877189413032
2018-02-12,0.00589611310234978
2018-02-13,-0.000884437011206387
2018-02-14,0.003888997487392498
2018-02-15,0.0021272067327793233
2018-02-16,0.0016416391115174225
2018-02-20,-0.0025112538885820605
2018-02-21,0.005602469545244749
2018-02-22,-0.005009435303332376
2018-02-23,-0.0009676532238408473
2018-02-26,0.004482045652424501
2018-02-27,0.0024697016471543452
2018-02-28,-0.00204309732091286
2018-03-01,-0.012058965789792096
2018-03-02,0.001352936891584908
2018-03-05,-0.0003922398915843858
2018-03-06,-0.0012359889212199364
2018-03-07,-0.0004840346845707192
2018-03-08,-0.001010266216392447
2018-03-09,0.004909675479811787
2018-03-12,-0.0023985748409159403
