,net
2013-01-29,-0.0035512644762684007
2013-01-30,-0.004882999595069048
2013-01-31,-0.00021544992882110533
2013-02-01,-0.002631951694448887
2013-02-04,-0.007444812861816322
2013-02-05,-0.0011580679911354936
2013-02-06,-0.0060956243373725535
2013-02-07,0.0017073901403154214
2013-02-08,0.004186040126558001
2013-02-11,0.003062460396763583
2013-02-12,0.007120779027622765
2013-02-13,0.0025089049011810726
2013-02-14,0.001457089855734908
2013-02-15,0.011061791136254558
2013-02-19,0.0028721817080142736
2013-02-20,0.00480456454811379
2013-02-21,-0.002612433305151027
2013-02-22,0.003725710255173381
2013-02-25,-0.018141218695633343
2013-02-26,0.004563767478528635
2013-02-27,0.014492409461203195
2013-02-28,0.005016955329767666
2013-03-01,0.007185991340497312
2013-03-04,0.01261713840596137
2013-03-05,0.005351249514843264
2013-03-06,-0.009865895356408411
2013-03-07,-0.003129276838275356
2013-03-08,-5.9926507338948517e-05
2013-03-11,0.00435515120447284
2013-03-12,-0.0048673010605366565
2013-03-13,0.009519341684504473
2013-03-14,0.0005009942531675586
2013-03-15,0.00010364207518930862
2013-03-18,-0.0020029930311686287
2013-03-19,0.0029443933145388867
2013-03-20,0.008874685992097876
2013-03-21,-0.0076850267221018585
2013-03-22,0.004408629948771305
2013-03-25,-0.0002186871165732435
2013-03-26,0.0002513303455480586
2013-03-27,-0.0024526099802297378
2013-03-28,0.004381144779806253
2013-04-01,-0.0001186879770572292
2013-04-02,0.010701410838221114
2013-04-03,0.00029971540946373005
2013-04-04,0.004868900691494009
2013-04-05,-0.0015886188339914265
2013-04-08,0.009643126155906153
2013-04-09,-0.015637991066480256
2013-04-10,0.013105658926600263
2013-04-11,0.009263713548577768
2013-04-12,0.022912972528187955
2013-04-15,0.01647896140022391
2013-04-16,0.003232300576575591
2013-04-17,0.007838599896714772
2013-04-18,-0.011136751354867096
2013-04-19,0.008341427469637317
2013-04-22,-0.004687585219971357
2013-04-23,0.014890570532577894
2013-04-24,-0.01784868079340078
2013-04-25,-0.005373922215428769
2013-04-26,0.011231808814724964
2013-04-29,-0.004656247851133062
2013-04-30,-0.007122695929291997
2013-05-01,0.0008869321971715653
2013-05-02,-0.00013712604912057696
2013-05-03,0.0025508099442792457
2013-05-06,0.001008890768807042
2013-05-07,0.004745259542240026
2013-05-08,-0.00892084671548538
2013-05-09,0.004163587455132363
2013-05-10,0.007916465507918387
2013-05-13,0.012301810896113256
2013-05-14,0.013917796974255381
2013-05-15,0.014498147798543552
2013-05-16,-0.011625618150613696
2013-05-17,0.016905302499556005
2013-05-20,-0.02199520925311829
2013-05-21,0.012250819440758787
2013-05-22,-0.0034121240627726568
2013-05-23,-0.0046983817515816925
2013-05-24,0.003170589873577813
2013-05-28,0.0022726375887371373
2013-05-29,-0.014447279977094666
2013-05-30,-0.008725443865188065
2013-05-31,0.0023549496013451792
2013-06-03,-0.014299353703272791
2013-06-04,0.0005811382493243786
2013-06-05,-0.00854027529794005
2013-06-06,0.0038585245380409507
2013-06-07,0.02858707559283233
2013-06-10,0.0007172757561574709
2013-06-11,0.0034680186684690867
2013-06-12,-0.005395283370390983
2013-06-13,0.006444799729589082
2013-06-14,-0.001597319017584308
2013-06-17,0.007208692916117948
2013-06-18,0.014327523944433639
2013-06-19,0.003898905693731185
2013-06-20,0.01383130480500026
2013-06-21,-0.004956960635305721
2013-06-24,0.007588020106608129
2013-06-25,0.0019426668511689762
2013-06-26,0.021502442227053803
2013-06-27,-0.0006211422358387445
2013-06-28,-0.024949665308498577
2013-07-01,0.004129659207080217
2013-07-02,0.012482551320011871
2013-07-03,-0.0003593678684380978
2013-07-05,0.026832179684953928
2013-07-08,-0.0001761383543454376
2013-07-09,-0.0015689916565857504
2013-07-10,0.005026425106373476
2013-07-11,-0.02109028347373016
2013-07-12,0.015697889100129273
2013-07-15,-0.00554101886222657
2013-07-16,-0.01236045553912137
2013-07-17,0.00619365878865312
2013-07-18,0.0034698681807155923
2013-07-19,-0.0013000911999525538
2013-07-22,-0.017090064272841564
2013-07-23,-0.01219228433903671
2013-07-24,0.010367731346404343
2013-07-25,-0.0003342250258432678
2013-07-26,-0.002264432174564334
2013-07-29,0.004048867308555881
2013-07-30,0.008971316762975268
2013-07-31,0.00445566334860849
2013-08-01,0.01596430213257223
2013-08-02,0.0028814402648609534
2013-08-05,0.00536056434042592
2013-08-06,0.004287482617064492
2013-08-07,-0.0005135567729340062
2013-08-08,-0.023772448237875114
2013-08-09,-0.0076899368954080755
2013-08-12,-0.014835677383894966
2013-08-13,0.005984594863738167
